raw_text,merchant,category
VPA soniakapo188@okicici Mrs SONIA KAPOOR,SONIA KAPOOR,Transfer
VPA faasos.kvpu.byc@ibl FAASOS,Faasos,Food
VPA flipkart@sbi Flipkart,Flipkart,Shopping
VPA blinkit.mpm@ibl Blinkit,Blinkit,Groceries
VPA paytmqr1jhnd@pthdfc Zerodha,Zerodha,Investment
VPA kq3295634exm@oksbi Dr ARNAV RAMESH NAIK,ARNAV RAMESH NAIK,Transfer
VPA paytmqr1bagmt@ptys NETFLIX,Netflix,Subscription
VPA zee5.6498373543962736@axisbank Zee5,ZEE5,Subscription
VPA paytm.hx6lgo@pty UPGRAD,upGrad,Education
VPA 8921878519@axisbank VEDANTU,Vedantu,Education
VPA paytm.nu1tozhd@ptybl VEDANTU,Vedantu,Education
VPA phonepe-8280737416@okbizaxis MISAL RESTAURANT,Misal Restaurant,Food
VPA paytmqr7jminju@paytm Act Fibernet,ACT Fibernet,Utilities
VPA 9484002730@ptybl Dr MUKHTAR PRASAD KAPOOR,MUKHTAR PRASAD KAPOOR,Transfer
VPA monikapand322@okhdfcbank Mr MONIKA PANDEY,MONIKA PANDEY,Transfer
VPA phonepe-0802711221@oksbi Phonepe,PhonePe,Payments
VPA tiwarisachi72@oksbi Mr SACHIN KUMAR TIWARI,SACHIN KUMAR TIWARI,Transfer
VPA phonepe-1016668700@oksbi Food Xpress,Food Xpress,Food
VPA 7075877712@axl GROWW INVEST TECH,Groww Invest Tech,Investment
VPA bharatpe.6ze6e24i1agzgxvx@fbpe Ms SHWETA LAL GUPTA,SHWETA LAL GUPTA,Transfer
VPA zerodha@sbi Zerodha,Zerodha,Investment
VPA winzo.32382231@okaxis Winzo,WinZo,Entertainment
VPA phonepe-3963605766@sbi Box8,Box8,Food
VPA bharatpe.pwckh3v10m1v395z@fbpe SIMRAN AJAYKUMAR MISHRA,SIMRAN AJAYKUMAR MISHRA,Transfer
VPA phonepe-1952058527@okbizaxis SUBWAY,Subway,Food
VPA gpay-2863330212@axisbank SONYLIV,SonyLIV,Subscription
VPA zomato.8262045053315869@ybl Zomato,Zomato,Food
VPA burgerking.mckl@okbizaxis BURGER KING,Burger King,Food
VPA vedantu.kwp@fbpe Vedantu,Vedantu,Education
VPA phonepe-5748839974@okaxis SONIA PRASAD SHARMA,SONIA PRASAD SHARMA,Transfer
VPA icicipru.m42o.vwk@axl ICICI PRUDENTIAL,ICICI Prudential,Investment
VPA googlepa.tn60.oiq@validhdfc GOOGLE PAY,Google Pay,Payments
VPA mobikwik@sbi MOBIKWIK,MobiKwik,Payments
VPA growwinv.y5ay.rkp@okaxis GROWW INVEST TECH,Groww Invest Tech,Investment
VPA paytm.vda8db@pty Practo,Practo,Health
VPA paytm.irn8qtty@pthdfc PIZZA HUT,Pizza Hut,Food
VPA 9883920530@okicici MYNTRA,Myntra,Shopping
VPA paytmqr9hlfqog@ptybl RAZORPAY,Razorpay,Payments
VPA zerodha.69886497@validhdfc ZERODHA,Zerodha,Investment
VPA dominos.pnyl@sbi Dominos,Dominos,Food
VPA cleartrip.yezo@apl Cleartrip,Cleartrip,Transport
VPA paytm.nwuecpn@ptys Practo,Practo,Health
VPA paytmqr0tgccsq@paytm ACT FIBERNET,ACT Fibernet,Utilities
VPA bharatpe.a9czv7pqovvi1yx9@fbpe Ms KRRISH KUMAR JAIN,KRRISH KUMAR JAIN,Transfer
VPA razorpay@oksbi Razorpay,Razorpay,Payments
VPA bharatpe.82j3tps82xlvb9hx@fbpe Mr VARUN PRASAD KULKARNI,VARUN PRASAD KULKARNI,Transfer
VPA kfc@axb KFC,KFC,Food
VPA 4390552958@sbi Vi Vodafone,Vi Vodafone,Utilities
VPA paytmqr3uory@ptybl INDIGO,IndiGo,Transport
VPA paytm.x31xqkwq@pty Ola,Ola,Transport
VPA anjali78735@hdfcbank Mr ANJALI VERMA,ANJALI VERMA,Transfer
VPA youtubep.dmuk.hcb@sbi YOUTUBE PREMIUM,YouTube Premium,Subscription
VPA airtel.qpb@rapl AIRTEL,Airtel,Utilities
VPA bharatpe.plcfr7cl6p3frb7e@fbpe Ms TARUN GAJENDRA ANSARI,TARUN GAJENDRA ANSARI,Transfer
VPA paytmqr7dwla@paytm HALDIRAMS,Haldirams,Food
VPA spencers@rapl SPENCERS,Spencers,Groceries
VPA vivodafone@fbpe Vi Vodafone,Vi Vodafone,Utilities
VPA paytm.22923106@axb PAYTM,Paytm,Payments
VPA paytm.x4u3bbx@ptybl Burger King,Burger King,Food
VPA gpay-7841715949@ibl Ms VINOD GAFUR TIWARI,VINOD GAFUR TIWARI,Transfer
VPA misalresta.92459375@axl Misal Restaurant,Misal Restaurant,Food
VPA kp0627153cef@axl Mrs SAJAHAN KUMAR SAYYED,SAJAHAN KUMAR SAYYED,Transfer
VPA hotelshi.mqgy.uxp@ybl HOTEL SHIV SAGAR,Hotel Shiv Sagar,Food
VPA ab0471372ymc@okbizaxis Dr ADITYA MISHRA,ADITYA MISHRA,Transfer
VPA paytmqr6toxc@ptybl BIGBASKET,BigBasket,Groceries
VPA 7492975170@sbi Cleartrip,Cleartrip,Transport
VPA paytmqr7euvcns@ptybl GLOBAL MEDICAL,Global Medical,Health
VPA ha6634933oih@icici RITU KUMAR NAIR,RITU KUMAR NAIR,Transfer
VPA airtel@ibl AIRTEL,Airtel,Utilities
VPA qv3220414hzr@axisbank ANITA GAJENDRA TIWARI,ANITA GAJENDRA TIWARI,Transfer
VPA paytm.axxpw2g@pthdfc MUTUAL S,Mutual Funds ICCL,Investment
VPA paytm.slayndn@pthdfc AJIO,AJIO,Shopping
VPA bharatpe.4wpfdfhj05mpz05t@fbpe Mrs BHERU RAJU NAIK,BHERU RAJU NAIK,Transfer
VPA paytm.sgv6to@pthdfc RELIANCE DIGITAL,Reliance Digital,Shopping
VPA phonepe-0851403696@axl Ola,Ola,Transport
VPA bharatpe.209qvwas1udjoau4@fbpe PRIYA KUMAR CHAUTALA,PRIYA KUMAR CHAUTALA,Transfer
VPA paytmqr4xdty@pty Unacademy,Unacademy,Education
VPA phonepe-1236851604@okicici KFC,KFC,Food
VPA bharatpe.d3bgnpyhrfozg7fb@fbpe Mrs MADHURI RAMESH TIWARI,MADHURI RAMESH TIWARI,Transfer
VPA paytmqr2froomz@pty CRED,CRED,Payments
VPA youtubep.dog@axisbank YOUTUBE PREMIUM,YouTube Premium,Subscription
VPA paytmqr2rbceub@ptybl Upgrad,upGrad,Education
VPA eh5000000cet@sbi Mr PALLAVI SOLANKI,PALLAVI SOLANKI,Transfer
VPA phonepe-5696443098@axl GLOBAL MEDICAL,Global Medical,Health
VPA lo4669861lxd@oksbi Mrs BHERU RAJU RAO,BHERU RAJU RAO,Transfer
VPA phonepe-7219705466@sbi Apollo Pharmacy,Apollo Pharmacy,Health
VPA paytm.ux1fvk1@paytm Cred,CRED,Payments
VPA gpay-3731255235@okaxis Mr USHA GAJENDRA AGARWAL,USHA GAJENDRA AGARWAL,Transfer
VPA snapdeal@rapl SNAPDEAL,Snapdeal,Shopping
VPA 1230834024@ybl AMAZON PRIME,Amazon Prime,Subscription
VPA paytm.pk88k6@paytm Byjus,Byjus,Education
VPA rapido.iaa@oksbi Rapido,Rapido,Transport
VPA paytm.dkcihd@pty TATA SKY,Tata Sky,Utilities
VPA 1382496718@oksbi Kuvera,Kuvera,Investment
VPA paytmqr2wcfi@pty PHARMEASY,PharmEasy,Health
VPA disneyho.cdh@rapl Disney Hotstar,Disney Hotstar,Subscription
VPA paytmqr1eilgwn@pthdfc HOTEL SHIV V,Hotel Shiv Sagar,Food
VPA gpay-0391114281@axisbank Dr RAJESH GAJENDRA DUMANE,RAJESH GAJENDRA DUMANE,Transfer
VPA byjus.3eze.jlo@oksbi BYJUS,Byjus,Education
VPA phonepe-2999362165@oksbi Ms SUNITA LAL PATEL,SUNITA LAL PATEL,Transfer
VPA paytm.laegry@ptybl Mutual Funds Iccl,Mutual Funds ICCL,Investment
VPA hg6470821fzk@ybl Mrs MANOJ RAMESH VERMA,MANOJ RAMESH VERMA,Transfer
VPA gpay-8452182307@axisbank Uber,Uber,Transport
VPA mutualfund@apl MUTUAL FUNDS ICCL,Mutual Funds ICCL,Investment
VPA paytm.ya88d0mz@pty ZEE5,ZEE5,Subscription
VPA vikram0652@axisbank Mrs VIKRAM AJAYKUMAR AGARWAL,VIKRAM AJAYKUMAR AGARWAL,Transfer
VPA applemedia@rapl APPLE MEDIA SERVICES,Apple Media Services,Subscription
VPA pharmeasy.45919663@axisbank PHARMEASY,PharmEasy,Health
VPA phonepe-3425754090@sbi GROWW,Groww,Investment
VPA cred.gdd@fbpe CRED,CRED,Payments
VPA 4882142369@ybl GLOBAL MEDICAL,Global Medical,Health
VPA paytm.etfoyq@ptys Faasos,Faasos,Food
VPA paytm.cwr0ui1@pthdfc AIRTEL,Airtel,Utilities
VPA if7681024ors@axl Dr DEEPAK RAJU DUMANE,DEEPAK RAJU DUMANE,Transfer
VPA bharatpe.pfmcie4acjod8wac@fbpe Ms SURESH NAIK,SURESH NAIK,Transfer
VPA phonepe-2933334680@okhdfcbank DMART,DMart,Groceries
VPA paytm.giry8x@paytm Disney Hotstar,Disney Hotstar,Subscription
VPA kj4576947ilp@axisbank Mr AMIT SAXENA,AMIT SAXENA,Transfer
VPA ev9466527tst@oksbi SNEHA LAL DUBEY,SNEHA LAL DUBEY,Transfer
VPA bharatpe.20uprb2ja2lpn1m6@fbpe Dr ANITA KUMAR MALHOTRA,ANITA KUMAR MALHOTRA,Transfer
VPA airindia.ede1.sob@sbi AIR INDIA,Air India,Transport
VPA nextbill.edf@axisbank NEXT BILLION TECHNOLOGY,Next Billion Technology,Investment
VPA misalresta.ltcc@validhdfc MISAL RESTAURANT,Misal Restaurant,Food
VPA paytm.exdw2zcf@pty MISAL RESTAURANT,Misal Restaurant,Food
VPA dominos.2546291486528168@axisbank DOMINOS,Dominos,Food
VPA paytmqr9jptat@paytm MUTUAL FUNDS ICCL,Mutual Funds ICCL,Investment
VPA bharatpe.ivwqm91284sec275@fbpe Mr AMIT RAMESH DUMANE,AMIT RAMESH DUMANE,Transfer
VPA latarao847@ibl Mr LATA PRASAD RAO,LATA PRASAD RAO,Transfer
VPA bharatpe.bad0ndv5dmcdsodb@fbpe Mrs VINOD SINGH GAWAND,VINOD SINGH GAWAND,Transfer
VPA phonepe-8817884795@axisbank REDBUS,RedBus,Transport
VPA paytm.pbc2nnu@ptybl SUBWAY,Subway,Food
VPA vivodafo.yupm.ajm@axisbank VI VODAFONE,Vi Vodafone,Utilities
VPA paytm.zj02grx@paytm DISNEY HOTSTAR,Disney Hotstar,Subscription
VPA yadavshweta2350@axisbank Dr SHWETA DILIP YADAV,SHWETA DILIP YADAV,Transfer
VPA 5359520561@okicici ARJUN RAMESH RAO,ARJUN RAMESH RAO,Transfer
VPA rapido.aegv.dlv@hdfcbank RAPIDO,Rapido,Transport
VPA 9513433200@okbizaxis Eatclub,EatClub,Food
VPA cred.qkq@okbizaxis CRED,CRED,Payments
VPA 7359893347@sbi Amazon,Amazon,Shopping
VPA subway.6169284511544796@axl Subway,Subway,Food
VPA irctc.vcm@okbizaxis Irctc,IRCTC,Transport
VPA sbimutua.8263337389877515@ibl SBI MUTUAL FUND,SBI Mutual Fund,Investment
VPA phonepe-2949381735@hdfcbank Dream11,Dream11,Entertainment
VPA paytm.uab13t@paytm ELECTRICITY BILL,Electricity Bill,Utilities
VPA gpay-7704611729@icici PHARMEASY,PharmEasy,Health
VPA paytmqr9gciq@paytm Axis Mutual Fund,Axis Mutual Fund,Investment
VPA gpay-9131670805@axisbank Dr VIKRAM DILIP SHINDE,VIKRAM DILIP SHINDE,Transfer
VPA 4066504427@okbizaxis Irctc,IRCTC,Transport
VPA meesho.ggm0.hvx@rapl MEESHO,Meesho,Shopping
VPA paytm.ixikvrec@pthdfc ELECTRICITY,Electricity Bill,Utilities
VPA gpay-8122362316@axl EATCLUB,EatClub,Food
VPA gpay-4025472928@oksbi CLEARTRIP,Cleartrip,Transport
VPA spencers.29221699@sbi SPENCERS,Spencers,Groceries
VPA collegefee.77278532@icici COLLEGE FEES,College Fees,Education
VPA da3608941bhp@okicici Mr RAHUL PRASAD SHAH,RAHUL PRASAD SHAH,Transfer
VPA razorpay.ggh@icici Razorpay,Razorpay,Payments
VPA paytmqr3namc@ptys Upgrad,upGrad,Education
VPA 3171390053@icici KFC,KFC,Food
VPA gpay-1597099625@okaxis School Fees,School Fees,Education
VPA angelbroki.gpra@fbpe Angel Broking,Angel Broking,Investment
VPA cleartrip.jjhj@validicici Cleartrip,Cleartrip,Transport
VPA phonepe-7271783332@axisbank Spotify,Spotify,Subscription
VPA fk5306011xpn@axl Mrs SNEHA DILIP YADAV,SNEHA DILIP YADAV,Transfer
VPA paytm.lvjuhbp9@ptybl Razorpay,Razorpay,Payments
VPA bharatpe.dju39x6kqb166xtf@fbpe Ms MADHURI PRASAD PATEL,MADHURI PRASAD PATEL,Transfer
VPA paytm.y18haf@pty DUNZO,Dunzo,Food
VPA 3627924632@okbizaxis Dr RITU KUMAR REDDY,RITU KUMAR REDDY,Transfer
VPA phonepe-5465535851@oksbi Vedantu,Vedantu,Education
VPA wd3211197nsu@hdfcbank Mrs VINOD PATIL,VINOD PATIL,Transfer
VPA gasbill.5061853800329633@hdfcbank Gas Bill,Gas Bill,Utilities
VPA ola.epp@okbizaxis OLA,Ola,Transport
VPA paytmqr6laowh@pty SPICEJET,SpiceJet,Transport
VPA paytm.vqoldf@paytm BOX8,Box8,Food
VPA paytmqr2wixbn@paytm AIRTEL,Airtel,Utilities
VPA dunzo.p0j4.vcw@okbizaxis Dunzo,Dunzo,Food
VPA paytmqr9jnyjpp@ptys UNACADEMY,Unacademy,Education
VPA jio.6394568044731497@fbpe JIO,Jio,Utilities
VPA pvrcinemas@ybl Pvr Cinemas,PVR Cinemas,Entertainment
VPA paytm.teb875@pthdfc TATA CLIQ,Tata Cliq,Shopping
VPA paytm.scij2v2@pty Faasos,Faasos,Food
VPA paytm.g11f9i@ptybl NBC VIKHROLI,NBC Vikhroli,Food
VPA nainasaxe364@ybl Ms NAINA DILIP SAXENA,NAINA DILIP SAXENA,Transfer
VPA arnav4323@ibl ARNAV GAFUR SHETTY,ARNAV GAFUR SHETTY,Transfer
VPA paytmqr1mlrsmg@pty OLA,Ola,Transport
VPA netmeds.5158.kld@apl NETMEDS,Netmeds,Health
VPA 0498321122@axl Mr ROHIT PRASAD TIWARI,ROHIT PRASAD TIWARI,Transfer
VPA paytm.rzqvs9j@pty BYJUS,Byjus,Education
VPA lt0537092fab@ibl Mr KRRISH MEHTA,KRRISH MEHTA,Transfer
VPA apolloph.l7fk.jce@validicici APOLLO PHARMACY,Apollo Pharmacy,Health
VPA gpay-9727875588@okbizaxis Box8,Box8,Food
VPA mutualfund.84076789@axb Mutual Funds Iccl,Mutual Funds ICCL,Investment
VPA 1022031731@icici MEESHO,Meesho,Shopping
VPA sonyliv.fle1.jmm@validhdfc SonyLIV,SonyLIV,Subscription
VPA hz3734167nyx@axisbank Ms SNEHA LAL KULKARNI,SNEHA LAL KULKARNI,Transfer
VPA gpay-9441715454@sbi Jiomart,JioMart,Groceries
VPA paytm.p2xmq664@ptybl PVR CINEMAS,PVR Cinemas,Entertainment
VPA phonepe-0217982134@pty Mrs ARNAV AJAYKUMAR ANSARI,ARNAV AJAYKUMAR ANSARI,Transfer
VPA jiocinema.qfet@rapl Jio Cinema,Jio Cinema,Subscription
VPA kv9497089aut@ibl Dr ARJUN RAJU SHARMA,ARJUN RAJU SHARMA,Transfer
VPA phonepe@icici PHONEPE,PhonePe,Payments
VPA paytmqr9qrljif@ptybl UBER,Uber,Transport
VPA phonepe-1713395962@oksbi Haldirams,Haldirams,Food
VPA paytm.qi5lds@pthdfc Jiomart,JioMart,Groceries
VPA paytm.p2t8ll@pty MPL,MPL,Entertainment
VPA bharatpe.3174gu65s6y5h3o0@fbpe SNEHA AJAYKUMAR KULKARNI,SNEHA AJAYKUMAR KULKARNI,Transfer
VPA 6084706810@icici PHONEPE,PhonePe,Payments
VPA bharatpe.3vp8lim06etcqr3e@fbpe Mrs PREETI RAVISHANKAR AGARWAL,PREETI RAVISHANKAR AGARWAL,Transfer
VPA paytm.i5egvlk@ptys Groww Invest Tech,Groww Invest Tech,Investment
VPA gopalnaik580@oksbi GOPAL LAL NAIK,GOPAL LAL NAIK,Transfer
VPA dumanemukht741@okaxis Mrs MUKHTAR DUMANE,MUKHTAR DUMANE,Transfer
VPA paytmqr3ymfdc@ptys DOMINOS,Dominos,Food
VPA jiocinema.15681820@fbpe Jio Cinema,Jio Cinema,Subscription
VPA angelbroki.15078593@okaxis Angel Broking,Angel Broking,Investment
VPA gpay-7648467357@ybl Mrs ROHIT GAFUR CHAUTALA,ROHIT GAFUR CHAUTALA,Transfer
VPA shreya387@icici Mrs SHREYA PATEL,SHREYA PATEL,Transfer
VPA bharatpe.l25s8t6aidizs3j0@fbpe Mr SAJAHAN PATEL,SAJAHAN PATEL,Transfer
VPA ff9189117pef@axisbank Dr SIDDHARTH KUMAR REDDY,SIDDHARTH KUMAR REDDY,Transfer
VPA paytmqr6dsoddq@pthdfc ELECTRICITY BILL,Electricity Bill,Utilities
VPA mcdonalds.htcl@icici Mcdonalds,McDonalds,Food
VPA phonepe-7142241098@okicici UBER,Uber,Transport
VPA mg6396384ikp@icici KAVYA RAVISHANKAR SHARMA,KAVYA RAVISHANKAR SHARMA,Transfer
VPA phonepe-2417842902@ybl Ms MEERA RAVISHANKAR REDDY,MEERA RAVISHANKAR REDDY,Transfer
VPA rh4246488htx@sbi Mrs MUKHTAR RAO,MUKHTAR RAO,Transfer
VPA pizzahut.3wve.cjz@rapl Pizza Hut,Pizza Hut,Food
VPA bharatpe.p6xcw8afmne6x1jd@fbpe Mrs SUNITA SINGH JOSHI,SUNITA SINGH JOSHI,Transfer
VPA paytmqr6dusfps@paytm SUBWAY,Subway,Food
VPA ux0030566cxu@axl Mrs MONIKA GAFUR JAIN,MONIKA GAFUR JAIN,Transfer
VPA 5873959232@ybl MPL,MPL,Entertainment
VPA makemytrip@validicici MAKEMYTRIP,MakeMyTrip,Transport
VPA phonepe-3856770051@hdfcbank FLIPKART,Flipkart,Shopping
VPA bharatpe.ln6bguaxnm0alqed@fbpe ARJUN GAWAND,ARJUN GAWAND,Transfer
VPA spencers.bed@validhdfc SPENCERS,Spencers,Groceries
VPA paytmqr6efzuzv@ptys COURSERA,Coursera,Education
VPA paytmqr1xmqn@pty AIRTEL,Airtel,Utilities
VPA rc8808799cqk@sbi MUKHTAR RAO,MUKHTAR RAO,Transfer
VPA 8015619318@okbizaxis NEXT BILLION TECHNOLOGY,Next Billion Technology,Investment
VPA amazonprim.02942409@okicici AMAZON PRIME,Amazon Prime,Subscription
VPA youtubep.nrk@sbi YOUTUBE PREMIUM,YouTube Premium,Subscription
VPA snapdeal@sbi SNAPDEAL,Snapdeal,Shopping
VPA groww.7905696591713578@sbi GROWW,Groww,Investment
VPA bookmysh.lsg@axb BookMyShow,BookMyShow,Entertainment
VPA paytmqr6jzopgn@pthdfc GROWW INVEST TECH,Groww Invest Tech,Investment
VPA paytm.oh5lf6a4@pty Kfc,KFC,Food
VPA paytm.wm3618l@ptys VEDANTU,Vedantu,Education
VPA kuvera.xgyx@okicici KUVERA,Kuvera,Investment
VPA paytmqr1uhob@pthdfc Electricity Bill,Electricity Bill,Utilities
VPA paytmqr9sjphnl@ptys KFC,KFC,Food
VPA paytmqr7qxmsbj@pthdfc COURSERA,Coursera,Education
VPA bharatpe.7u55d5q3ov9jydfz@fbpe Ms MEERA SHAH,MEERA SHAH,Transfer
VPA paytm.w0pkbo5@pty College Fees,College Fees,Education
VPA dream11.44902166@fbpe DREAM11,Dream11,Entertainment
VPA gpay-8854728123@ibl Medplus,MedPlus,Health
VPA burgerking@rapl BURGER KING,Burger King,Food
VPA paytmqr0pafxkf@pthdfc SBI MUTUAL FUND,SBI Mutual Fund,Investment
VPA paytmqr8dgzu@pthdfc Meesho,Meesho,Shopping
VPA phonepe-9949919701@hdfcbank Mrs VINOD GAFUR DESAI,VINOD GAFUR DESAI,Transfer
VPA je0826112fdc@okaxis Mrs MUKHTAR RAMESH DESAI,MUKHTAR RAMESH DESAI,Transfer
VPA natureba.7296590277167014@sbi Nature Basket,Nature Basket,Groceries
VPA phonepe-4563502000@axisbank AMAZON PRIME,Amazon Prime,Subscription
VPA subway.59640165@apl SUBWAY,Subway,Food
VPA phonepe-2671462831@axisbank Youtube Premium,YouTube Premium,Subscription
VPA bx3274883ijc@okbizaxis Mr ARNAV SINGH DESAI,ARNAV SINGH DESAI,Transfer
VPA paytm.cckmalq5@ptybl GROWW,Groww,Investment
VPA paytmqr9aynnsg@pty AMAZON PRIME,Amazon Prime,Subscription
VPA zee5.fwkw@okaxis ZEE5,ZEE5,Subscription
VPA bharatpe.8k0hf36c0ox87czr@fbpe Mr GAURAV PRASAD REDDY,GAURAV PRASAD REDDY,Transfer
VPA meesho.94053910@ibl MEESHO,Meesho,Shopping
VPA paytm.a9mgyh@ptys AXIS MUTUAL FUND,Axis Mutual Fund,Investment
VPA 0251762983@ybl Practo,Practo,Health
VPA cz2602213ewy@okbizaxis Dr RAHUL DILIP JAIN,RAHUL DILIP JAIN,Transfer
VPA paytmqr5xwohe@ptybl AJIO,AJIO,Shopping
VPA amazon.anun@apl AMAZON,Amazon,Shopping
VPA gasbill.ygpc@okbizaxis Gas Bill,Gas Bill,Utilities
VPA 5060983584@ibl Pizza Hut,Pizza Hut,Food
VPA eatclub@axb EATCLUB,EatClub,Food
VPA hdfcsecu.uup@axl HDFC SECURITIES,HDFC Securities,Investment
VPA paytm.momrde51@pthdfc Jio,Jio,Utilities
VPA paytm.vf15icy@ptys Phonepe,PhonePe,Payments
VPA paytm.xjcns6g@ptybl BLINKIT,Blinkit,Groceries
VPA paytm.e9dyfn@pty Coursera,Coursera,Education
VPA gasbill.0157676472298120@axisbank Gas Bill,Gas Bill,Utilities
VPA paytmqr5dapp@pthdfc CROMA,Croma,Shopping
VPA paytmqr8uibuw@ptybl HDFC SECURITIES,HDFC Securities,Investment
VPA gpay-5319433750@okbizaxis Upstox,Upstox,Investment
VPA rohit049@okicici Mrs ROHIT VERMA,ROHIT VERMA,Transfer
VPA gpay-7093170695@ibl BILLDESK,BillDesk,Payments
VPA paytm.hz0hr9@ptybl Icici Prudential,ICICI Prudential,Investment
VPA kunalmeht998-5@okbizaxis KUNAL RAJU MEHTA,KUNAL RAJU MEHTA,Transfer
VPA 7465353780@ptybl Ms SIDDHARTH RAMESH GUPTA,SIDDHARTH RAMESH GUPTA,Transfer
VPA phonepe-9353400181@ptys SIDDHARTH SOLANKI,SIDDHARTH SOLANKI,Transfer
VPA amazon.n3bf.ftu@rapl AMAZON,Amazon,Shopping
VPA neha288@okhdfcbank Dr NEHA RAMESH CHAUTALA,NEHA RAMESH CHAUTALA,Transfer
VPA phonepe-9404760440@okhdfcbank Vi Vodafone,Vi Vodafone,Utilities
VPA paytm.o3z2t4@pty AJIO,AJIO,Shopping
